Date,Open,High,Low,Close,Adj Close,Volume,diff_index_date,diff_index_value
3/10/97,80.9375,81.6875,80.546875,81.6875,51.724289,1074900,2/15/97,0.804878049
3/11/97,81.75,81.796875,81.25,81.25,51.447258,624600,2/15/97,0.804878049
3/12/97,81.3125,81.34375,80.296875,80.53125,50.992172,1055600,2/15/97,0.804878049
3/13/97,80.25,80.46875,79.0625,79.28125,50.200665,2514100,2/15/97,0.804878049
3/14/97,79.640625,80.03125,79.25,79.6875,50.45789,1642700,2/15/97,0.804878049
3/17/97,79.25,80.03125,78.4375,79.90625,50.596401,3013500,3/15/97,0.804878049
3/18/97,80,80.109375,78.71875,79.046875,50.052269,1352500,3/15/97,0.804878049
3/19/97,78.84375,79.5,78.0625,78.78125,49.884064,1510000,3/15/97,0.804878049
3/20/97,78.75,79,77.875,78.375,49.626827,1808200,3/15/97,0.804878049
3/21/97,78.6875,78.75,78.34375,78.4375,49.856602,2810600,3/15/97,0.804878049
3/24/97,78.5,79.578125,78.09375,79.53125,50.55183,2145600,3/15/97,0.804878049
3/25/97,79.34375,79.96875,78.53125,78.75,50.05521,2125800,3/15/97,0.804878049
3/26/97,79.0625,79.65625,78.6875,79.09375,50.273739,1335300,3/15/97,0.804878049
3/27/97,79.375,79.375,76.15625,77,48.942879,2898500,3/15/97,0.804878049
3/31/97,76.90625,77.125,75.25,75.375,47.909988,4270700,3/15/97,0.804878049
4/1/97,75.25,76.1875,75.046875,75.859375,48.217873,3210900,3/15/97,0.804878049
4/2/97,75.625,75.9375,74.4375,74.5,47.353832,2672700,3/15/97,0.804878049
4/3/97,74.4375,75.125,74.1875,74.90625,47.612049,2284200,3/15/97,0.804878049
4/4/97,74.5,75.859375,74.15625,75.84375,48.207958,3706700,3/15/97,0.804878049
4/7/97,76.1875,76.625,76.140625,76.140625,48.396656,2596200,3/15/97,0.804878049
4/8/97,76.125,76.78125,75.84375,76.6875,48.744251,1822700,3/15/97,0.804878049
4/9/97,77,77.046875,75.84375,76.0625,48.347012,2453200,3/15/97,0.804878049
4/10/97,76.09375,76.546875,75.6875,75.78125,48.168243,1996500,3/15/97,0.804878049
4/11/97,75.0625,75.3125,73.375,73.375,46.638802,4221600,3/15/97,0.804878049
4/14/97,73.734375,74.453125,73.3125,74.359375,47.264439,3988500,3/15/97,0.804878049
4/15/97,75.25,75.640625,74.5,75.625,48.068901,2760400,4/15/97,0.780487805
4/16/97,75.375,76.609375,75.25,76.5,48.625061,2273300,4/15/97,0.780487805
4/17/97,76.5,77,76,76.1875,48.426456,1386000,4/15/97,0.780487805
4/18/97,76.8125,76.984375,76.25,76.5625,48.664795,1702100,4/15/97,0.780487805
4/21/97,76.75,76.90625,75.46875,76.0625,48.347012,2809400,4/15/97,0.780487805
4/22/97,76.109375,77.734375,76,77.734375,49.409664,3215000,4/15/97,0.780487805
4/23/97,77.65625,78.03125,77.1875,77.8125,49.459335,2047700,4/15/97,0.780487805
4/24/97,78.046875,78.28125,76.875,77.421875,49.211079,2689900,4/15/97,0.780487805
4/25/97,77.0625,77.203125,76.421875,76.53125,48.644936,1606200,4/15/97,0.780487805
4/28/97,76.5,77.8125,76.375,77.28125,49.121662,1666500,4/15/97,0.780487805
4/29/97,78.59375,79.78125,78.296875,79.71875,50.671001,3197400,4/15/97,0.780487805
4/30/97,79.25,80.6875,79.21875,80.09375,50.909367,3372200,4/15/97,0.780487805
5/1/97,80.21875,80.53125,79.3125,80,50.849766,2149500,4/15/97,0.780487805
5/2/97,80.28125,81.671875,80.0625,81.4375,51.763458,1448300,4/15/97,0.780487805
5/5/97,81.65625,83.5625,81.296875,83.375,52.994968,3636200,4/15/97,0.780487805
5/6/97,82.96875,83.46875,82.5,83.3125,52.955276,1721100,4/15/97,0.780487805
5/7/97,83,83,81.40625,81.5,51.803181,2327200,4/15/97,0.780487805
5/8/97,81.3125,83.21875,81.1875,82.0625,52.160717,2923700,4/15/97,0.780487805
5/9/97,82.96875,83.125,81.65625,82.625,52.518272,2558200,4/15/97,0.780487805
5/12/97,82.9375,84.25,82.875,84,53.392239,2357900,4/15/97,0.780487805
5/13/97,83.9375,84.09375,83.015625,83.65625,53.173752,1195100,4/15/97,0.780487805
5/14/97,84.234375,84.5,83.4375,83.8125,53.27306,2772000,4/15/97,0.780487805
5/15/97,83.8125,84.59375,83.515625,84.375,53.630608,884100,5/15/97,0.756097561
5/16/97,84.125,84.3125,83,83.21875,52.895672,1934200,5/15/97,0.756097561
5/19/97,83.3125,83.90625,83.0625,83.46875,53.054569,1375800,5/15/97,0.756097561
5/20/97,83.28125,84.6875,82.75,84.46875,53.690208,1756400,5/15/97,0.756097561
5/21/97,84.6875,84.984375,83.65625,84.28125,53.571011,1208000,5/15/97,0.756097561
5/22/97,84.375,84.46875,83.5625,84,53.392239,907600,5/15/97,0.756097561
5/23/97,84.375,85.21875,84.15625,84.78125,53.888824,644400,5/15/97,0.756097561
5/27/97,84.375,85.53125,84.265625,85.125,54.107292,1531000,5/15/97,0.756097561
5/28/97,85.125,85.453125,84.515625,85.109375,54.09737,716700,5/15/97,0.756097561
5/29/97,85.09375,85.25,84.5,84.609375,53.77961,1282700,5/15/97,0.756097561
5/30/97,83.21875,85.5625,83.125,85.15625,54.127182,2143300,5/15/97,0.756097561
6/2/97,85.34375,85.5,84.71875,84.78125,53.888824,1479100,5/15/97,0.756097561
6/3/97,84.40625,85.4375,84.34375,84.5,53.710041,1562100,5/15/97,0.756097561
6/4/97,84.53125,84.75,84.078125,84.40625,53.650486,1063100,5/15/97,0.756097561
6/5/97,84.59375,85.3125,84.421875,84.71875,53.849113,1180800,5/15/97,0.756097561
6/6/97,84.59375,86.4375,84.59375,86.375,54.901848,1511100,5/15/97,0.756097561
6/9/97,86.4375,86.875,86.34375,86.8125,55.17992,1823400,5/15/97,0.756097561
6/10/97,86.84375,87.40625,86.5,87.078125,55.348797,1217500,5/15/97,0.756097561
6/11/97,87,87.40625,86.828125,87.28125,55.477886,1673800,5/15/97,0.756097561
6/12/97,87.875,89,87.5625,88.96875,56.55051,4273300,5/15/97,0.756097561
6/13/97,89.0625,90,88.90625,89.71875,57.027191,2132900,5/15/97,0.756097561
6/16/97,89.75,90,89.46875,89.75,57.047077,800400,6/15/97,0.731707317
6/17/97,89.4375,90.234375,88.9375,89.625,56.967621,2048100,6/15/97,0.731707317
6/18/97,89.125,89.625,88.96875,89.3125,56.768993,1971900,6/15/97,0.731707317
6/19/97,89.609375,90.5,89.375,90.234375,57.35495,2029900,6/15/97,0.731707317
6/20/97,89.9375,90.34375,89.5,89.578125,57.159519,1396900,6/15/97,0.731707317
6/23/97,89.40625,89.90625,87.34375,87.40625,55.773674,3991500,6/15/97,0.731707317
6/24/97,88.25,89.875,88,89.625,57.189434,4895100,6/15/97,0.731707317
6/25/97,89.484375,90.25,87.9375,89,56.790649,4708900,6/15/97,0.731707317
6/26/97,88.84375,89.625,87.6875,88.5625,56.511444,2569900,6/15/97,0.731707317
6/27/97,88.96875,89.71875,88.6875,88.90625,56.730801,2617900,6/15/97,0.731707317
6/30/97,88.90625,89.46875,87.875,88.3125,56.351917,2384900,6/15/97,0.731707317
7/1/97,88.5,89.5625,88.390625,89.34375,57.00996,1749000,6/15/97,0.731707317
7/2/97,89.5625,90.8125,89.21875,90.8125,57.94717,1961800,6/15/97,0.731707317
7/3/97,91.875,92.15625,91.46875,92.0625,58.744797,2539100,6/15/97,0.731707317
7/7/97,92.375,92.5,90.90625,91.125,58.146629,1158600,6/15/97,0.731707317
7/8/97,91.25,92.1875,91.1875,92.078125,58.754787,3396500,6/15/97,0.731707317
7/9/97,92.3125,92.375,90.03125,91.0625,58.10672,5390300,6/15/97,0.731707317
7/10/97,91.125,91.84375,90.484375,91.46875,58.365944,2072200,6/15/97,0.731707317
7/11/97,91.59375,92.1875,91.375,91.78125,58.56535,2258900,6/15/97,0.731707317
7/14/97,91.890625,92.3125,91.21875,92.0625,58.744797,3186400,6/15/97,0.731707317
7/15/97,92.3125,92.765625,91.46875,92.53125,59.043915,2983100,7/15/97,0.780487805
7/16/97,93.125,94.09375,92.890625,93.75,59.821609,2621300,7/15/97,0.780487805
7/17/97,93.625,93.8125,92.78125,93.28125,59.522465,1794800,7/15/97,0.780487805
7/18/97,93.015625,93.21875,91.0625,91.296875,58.256264,3961900,7/15/97,0.780487805
7/21/97,91.28125,91.59375,90.6875,91.3125,58.266224,3810300,7/15/97,0.780487805
7/22/97,91.6875,93.796875,91.625,93.734375,59.811646,4243400,7/15/97,0.780487805
7/23/97,93.9375,94.484375,93.53125,93.65625,59.761765,3204300,7/15/97,0.780487805
7/24/97,93.9375,94.265625,92.6875,94.09375,60.040909,4152700,7/15/97,0.780487805
7/25/97,94.5625,94.8125,93.625,94.03125,60.001053,2364800,7/15/97,0.780487805
7/28/97,94.25,94.5625,93.5,93.96875,59.961178,2794700,7/15/97,0.780487805
7/29/97,93.625,94.46875,93.421875,94.28125,60.16058,2737100,7/15/97,0.780487805
7/30/97,94.5,95.625,94.40625,95.40625,60.878433,4839800,7/15/97,0.780487805
7/31/97,95.40625,96.03125,95.03125,95.3125,60.818619,2138700,7/15/97,0.780487805
8/1/97,95.5,95.71875,93.8125,94.9375,60.579338,7077700,7/15/97,0.780487805
8/4/97,94.78125,95.546875,94.40625,95.1875,60.738892,2339500,7/15/97,0.780487805
8/5/97,95.09375,95.6875,94.90625,95.25,60.77874,1466700,7/15/97,0.780487805
8/6/97,95.4375,96.53125,95.0625,96.03125,61.277233,2478200,7/15/97,0.780487805
8/7/97,96.5,96.625,95.125,95.3125,60.818619,3641900,7/15/97,0.780487805
8/8/97,94.3125,94.75,92.40625,93.375,59.582279,7113100,7/15/97,0.780487805
8/11/97,93.75,94.28125,92.625,94.0625,60.020996,6355900,7/15/97,0.780487805
8/12/97,94.21875,94.546875,92.46875,92.5625,59.063816,6132500,7/15/97,0.780487805
8/13/97,93.6875,93.84375,91.46875,92.28125,58.884422,6982300,7/15/97,0.780487805
8/14/97,93.09375,93.3125,91.71875,92.625,59.103729,3462700,7/15/97,0.780487805
8/15/97,92.125,92.125,89.625,89.78125,57.289185,4907100,8/15/97,0.731707317
8/18/97,90.375,91.78125,89.34375,91.78125,58.56535,5638900,8/15/97,0.731707317
8/19/97,92.21875,92.90625,91.53125,92.84375,59.243305,3802800,8/15/97,0.731707317
8/20/97,92.9375,94.3125,92.609375,94.25,60.140644,3564600,8/15/97,0.731707317
8/21/97,94.125,94.25,92.09375,92.59375,59.083782,5392600,8/15/97,0.731707317
8/22/97,91,92.734375,90.5625,92.5625,59.063816,8087800,8/15/97,0.731707317
8/25/97,92.78125,93.40625,91.84375,92.21875,58.844501,3888000,8/15/97,0.731707317
8/26/97,92,92.5625,90.703125,90.859375,57.977074,4290000,8/15/97,0.731707317
8/27/97,91,91.96875,90.40625,91.40625,58.326077,5484300,8/15/97,0.731707317
8/28/97,91.1875,91.9375,90,90.015625,57.438705,4287900,8/15/97,0.731707317
8/29/97,90.125,91.109375,89.71875,90.375,57.668041,2652300,8/15/97,0.731707317
9/2/97,90.6875,93.359375,90.59375,93.3125,59.542412,7294000,8/15/97,0.731707317
9/3/97,93.296875,94,92.75,92.8125,59.223392,2812500,8/15/97,0.731707317
9/4/97,93.0625,93.71875,92.75,93.40625,59.602215,2473700,8/15/97,0.731707317
9/5/97,93.96875,94.4375,92.59375,93.140625,59.432762,3663300,8/15/97,0.731707317
9/8/97,93.71875,94,93.3125,93.546875,59.691986,803500,8/15/97,0.731707317
9/9/97,93.21875,94.28125,92.90625,93.59375,59.721901,1885200,8/15/97,0.731707317
9/10/97,93.125,93.5,91.65625,91.65625,58.485554,3623700,8/15/97,0.731707317
9/11/97,91.78125,91.90625,90.25,91.1875,58.186478,7055900,8/15/97,0.731707317
9/12/97,92,92.96875,90.9375,92.65625,59.123692,6708000,8/15/97,0.731707317
9/15/97,92.65625,93.3125,92.1875,92.5,59.023979,2060500,9/15/97,0.634146341
9/16/97,93.3125,95.28125,93.03125,94.8125,60.499565,6979000,9/15/97,0.634146341
9/17/97,95.375,95.5,94.5,94.8125,60.499565,2220000,9/15/97,0.634146341
9/18/97,95,96.375,94.96875,95.21875,60.758804,5045400,9/15/97,0.634146341
9/19/97,94.65625,95.359375,94.40625,95.03125,60.861599,1566400,9/15/97,0.634146341
9/22/97,95.5,96.203125,95.21875,95.5625,61.201801,3259000,9/15/97,0.634146341
9/23/97,95.5625,95.703125,94.75,95.125,60.921631,1872800,9/15/97,0.634146341
9/24/97,95.375,96.109375,94.28125,94.34375,60.421291,2793100,9/15/97,0.634146341
9/25/97,94.25,94.75,93.625,93.6875,60.00095,6327800,9/15/97,0.634146341
9/26/97,94.4375,94.8125,94.1875,94.46875,60.501324,3995800,9/15/97,0.634146341
9/29/97,94.5,95.5625,94.15625,95.375,61.081738,2065000,9/15/97,0.634146341
9/30/97,95,95.6875,94.375,94.375,60.441315,4137600,9/15/97,0.634146341
10/1/97,95.25,95.8125,94.78125,95.625,61.241848,3567500,9/15/97,0.634146341
10/2/97,95.53125,96.1875,95.3125,96.15625,61.582069,2577500,9/15/97,0.634146341
10/3/97,97.46875,97.75,95.34375,96.640625,61.892292,6499900,9/15/97,0.634146341
10/6/97,97.3125,97.609375,96.90625,97.28125,62.302574,2272100,9/15/97,0.634146341
10/7/97,97.53125,98.5,97.203125,98.1875,62.882957,1832800,9/15/97,0.634146341
10/8/97,98.359375,98.375,96.734375,97.5,62.442688,4439400,9/15/97,0.634146341
10/9/97,96.78125,97.609375,96.21875,97.15625,62.222523,3607600,9/15/97,0.634146341
10/10/97,96.3125,96.984375,96.25,96.875,62.042412,2858100,9/15/97,0.634146341
10/13/97,97.34375,97.546875,96.71875,96.96875,62.102417,1760300,9/15/97,0.634146341
10/14/97,97.46875,97.5,96.1875,97,62.122475,2235700,9/15/97,0.634146341
10/15/97,96.3125,97.0625,96.28125,96.78125,61.982357,2601700,10/15/97,0.609756098
10/16/97,97.3125,97.5,95,95.25,61.001701,9488100,10/15/97,0.609756098
10/17/97,95.015625,95.375,93,94.28125,60.381283,8151300,10/15/97,0.609756098
10/20/97,94.84375,95.75,94.15625,95.625,61.241848,3636400,10/15/97,0.609756098
10/21/97,96.21875,97.5,96.03125,97.484375,62.432652,5225400,10/15/97,0.609756098
10/22/97,97.34375,97.390625,96.53125,96.84375,62.022366,4485200,10/15/97,0.609756098
10/23/97,94.9375,95.75,94.28125,94.9375,60.801514,8054100,10/15/97,0.609756098
10/24/97,96.15625,96.15625,93.671875,94,60.201122,6778700,10/15/97,0.609756098
10/27/97,93.015625,93.9375,86.84375,87.1875,55.83815,10840700,10/15/97,0.609756098
10/28/97,84.375,92.875,84.375,92.21875,59.060318,19548000,10/15/97,0.609756098
10/29/97,92.5,93.75,91.28125,91.96875,58.900238,10134400,10/15/97,0.609756098
10/30/97,90.625,92.5625,89.75,89.9375,57.599358,9772900,10/15/97,0.609756098
10/31/97,91.8125,92.5,90.4375,92.0625,58.960274,7072700,10/15/97,0.609756098
11/3/97,93.1875,94.375,92.875,94,60.201122,5548500,10/15/97,0.609756098
11/4/97,93.875,94.4375,93.28125,94,60.201122,3455700,10/15/97,0.609756098
11/5/97,94.1875,95.28125,93.84375,94.3125,60.401245,4774900,10/15/97,0.609756098
11/6/97,94.03125,94.34375,93.5,93.953125,60.171108,3679800,10/15/97,0.609756098
11/7/97,92.375,93.25,91.4375,92.9375,59.520679,10606800,10/15/97,0.609756098
11/10/97,93.625,93.84375,92,92.375,59.160423,4347900,10/15/97,0.609756098
11/11/97,92.6875,93.0625,92.03125,92.40625,59.18045,3212400,10/15/97,0.609756098
11/12/97,91.625,92.71875,90.375,90.5,57.95961,6775300,10/15/97,0.609756098
11/13/97,91.46875,92.15625,90.09375,91.8125,58.800182,8589600,10/15/97,0.609756098
11/14/97,92.3125,93.390625,91.609375,93.0625,59.600723,5827900,10/15/97,0.609756098
11/17/97,94.375,95.3125,94.03125,94.78125,60.701511,5149900,11/15/97,0.487804878
11/18/97,94.8125,95.09375,93.890625,94.1875,60.321194,3433600,11/15/97,0.487804878
11/19/97,93.6875,95.0625,92.75,94.65625,60.621441,4387900,11/15/97,0.487804878
11/20/97,95.3125,96.53125,95.28125,96.09375,61.542057,4822700,11/15/97,0.487804878
11/21/97,96.625,96.8125,95.65625,96.75,61.962341,5436500,11/15/97,0.487804878
11/24/97,96,96.34375,94.625,95,60.84161,4337200,11/15/97,0.487804878
11/25/97,95.625,95.8125,94.65625,95.25,61.001701,4525000,11/15/97,0.487804878
11/26/97,95.875,95.984375,95.3125,95.53125,61.181812,2681100,11/15/97,0.487804878
